,acc,rec,pre,f1,mcc,auc
AMP,0.6950000000000001,0.615625,0.72025,0.662875,0.391125,0.6937500000000001
TXP,0.80825,0.53125,0.622,0.5702499999999999,0.45099999999999996,0.7135
ABP,0.782,0.3295,0.569625,0.41375,0.3105,0.625625
AIP,0.869,0.686625,0.6522499999999999,0.666375,0.58675,0.799625
AVP,0.824875,0.32675,0.3812500000000001,0.348625,0.25125,0.617875
ACP,0.86875,0.13974999999999999,0.276125,0.1795,0.12962500000000002,0.548
AFP,0.8641249999999999,0.154625,0.26925,0.1825,0.13125,0.555875
DDV,0.93275,0.25887499999999997,0.280375,0.267625,0.23387500000000003,0.6134999999999999
CPP,0.943375,0.28287500000000004,0.51325,0.334625,0.33549999999999996,0.6315
CCC,0.978375,0.494875,0.5625,0.5075,0.5085,0.7427499999999999
APP,0.97675,0.0,0.0,0.0,-0.00175,nan
AAP,0.9825,0.066625,0.1875,0.09162500000000001,0.10325,nan
AHTP,0.986375,0.166625,0.104125,0.125,0.12325,nan
PBP,0.992,0.0625,0.125,0.083375,0.087,nan
QSP,0.9921249999999999,0.125,0.125,0.125,0.123625,nan
